"year","month","branch_id","salary_per_hour","ingesttime"
2019,8,1,237112,2023-06-24 01:55:17.222 +0700
2019,8,2,257130,2023-06-24 01:55:17.222 +0700
2019,8,3,,2023-06-24 01:55:17.222 +0700
2019,9,1,223552,2023-06-24 01:55:17.222 +0700
2019,9,2,169270,2023-06-24 01:55:17.222 +0700
2019,9,3,817044,2023-06-24 01:55:17.222 +0700
2019,9,2590,365601,2023-06-24 01:55:17.222 +0700
2019,9,2623,407511,2023-06-24 01:55:17.222 +0700
2019,9,2625,393764,2023-06-24 01:55:17.222 +0700
2019,9,2626,273768,2023-06-24 01:55:17.222 +0700
2019,9,2629,385374,2023-06-24 01:55:17.222 +0700
2019,9,2630,459328,2023-06-24 01:55:17.222 +0700
2019,9,2631,286619,2023-06-24 01:55:17.222 +0700
2019,9,2633,314757,2023-06-24 01:55:17.222 +0700
2019,9,2634,334467,2023-06-24 01:55:17.222 +0700
2019,9,2635,1318158,2023-06-24 01:55:17.222 +0700
2019,9,3092,165099,2023-06-24 01:55:17.222 +0700
2019,10,1,62552,2023-06-24 01:55:17.222 +0700
2019,10,2,76971,2023-06-24 01:55:17.222 +0700
2019,10,3,74721,2023-06-24 01:55:17.222 +0700
2019,10,2590,54004,2023-06-24 01:55:17.222 +0700
2019,10,2623,56620,2023-06-24 01:55:17.222 +0700
2019,10,2625,58443,2023-06-24 01:55:17.222 +0700
2019,10,2626,62754,2023-06-24 01:55:17.222 +0700
2019,10,2629,75844,2023-06-24 01:55:17.222 +0700
2019,10,2630,70786,2023-06-24 01:55:17.222 +0700
2019,10,2631,49864,2023-06-24 01:55:17.222 +0700
2019,10,2633,62067,2023-06-24 01:55:17.222 +0700
2019,10,2634,55291,2023-06-24 01:55:17.222 +0700
2019,10,2635,54671,2023-06-24 01:55:17.222 +0700
2019,10,3092,77834,2023-06-24 01:55:17.222 +0700
2019,11,1,60461,2023-06-24 01:55:17.222 +0700
2019,11,2,54734,2023-06-24 01:55:17.222 +0700
2019,11,3,89483,2023-06-24 01:55:17.222 +0700
2019,11,2590,59402,2023-06-24 01:55:17.222 +0700
2019,11,2623,59779,2023-06-24 01:55:17.222 +0700
2019,11,2625,65958,2023-06-24 01:55:17.222 +0700
2019,11,2626,56603,2023-06-24 01:55:17.222 +0700
2019,11,2629,62617,2023-06-24 01:55:17.222 +0700
2019,11,2630,76695,2023-06-24 01:55:17.222 +0700
2019,11,2631,51213,2023-06-24 01:55:17.222 +0700
2019,11,2633,65297,2023-06-24 01:55:17.222 +0700
2019,11,2634,59494,2023-06-24 01:55:17.222 +0700
2019,11,2635,57479,2023-06-24 01:55:17.222 +0700
2019,11,3092,58647,2023-06-24 01:55:17.222 +0700
2019,12,1,61884,2023-06-24 01:55:17.222 +0700
2019,12,2,71981,2023-06-24 01:55:17.222 +0700
2019,12,3,81076,2023-06-24 01:55:17.222 +0700
2019,12,2590,58601,2023-06-24 01:55:17.222 +0700
2019,12,2623,64361,2023-06-24 01:55:17.222 +0700
2019,12,2625,67678,2023-06-24 01:55:17.222 +0700
2019,12,2626,56681,2023-06-24 01:55:17.222 +0700
2019,12,2629,68041,2023-06-24 01:55:17.222 +0700
2019,12,2630,71071,2023-06-24 01:55:17.222 +0700
2019,12,2631,51163,2023-06-24 01:55:17.222 +0700
2019,12,2633,65543,2023-06-24 01:55:17.222 +0700
2019,12,2634,55031,2023-06-24 01:55:17.222 +0700
2019,12,2635,61503,2023-06-24 01:55:17.222 +0700
2019,12,3092,55081,2023-06-24 01:55:17.222 +0700
2020,1,1,53976,2023-06-24 01:55:17.222 +0700
2020,1,2,65876,2023-06-24 01:55:17.222 +0700
2020,1,3,77023,2023-06-24 01:55:17.222 +0700
2020,1,2590,55881,2023-06-24 01:55:17.222 +0700
2020,1,2623,59686,2023-06-24 01:55:17.222 +0700
2020,1,2625,62756,2023-06-24 01:55:17.222 +0700
2020,1,2626,44945,2023-06-24 01:55:17.222 +0700
2020,1,2629,55367,2023-06-24 01:55:17.222 +0700
2020,1,2630,64149,2023-06-24 01:55:17.222 +0700
2020,1,2631,47249,2023-06-24 01:55:17.222 +0700
2020,1,2633,62471,2023-06-24 01:55:17.222 +0700
2020,1,2634,45827,2023-06-24 01:55:17.222 +0700
2020,1,2635,43528,2023-06-24 01:55:17.222 +0700
2020,1,3092,50569,2023-06-24 01:55:17.222 +0700
2020,2,1,62832,2023-06-24 01:55:17.222 +0700
2020,2,2,63701,2023-06-24 01:55:17.222 +0700
2020,2,3,75419,2023-06-24 01:55:17.222 +0700
2020,2,2590,56568,2023-06-24 01:55:17.222 +0700
2020,2,2623,63776,2023-06-24 01:55:17.222 +0700
2020,2,2625,62909,2023-06-24 01:55:17.222 +0700
2020,2,2626,48351,2023-06-24 01:55:17.222 +0700
2020,2,2629,68193,2023-06-24 01:55:17.222 +0700
2020,2,2630,67402,2023-06-24 01:55:17.222 +0700
2020,2,2631,52437,2023-06-24 01:55:17.222 +0700
2020,2,2633,70172,2023-06-24 01:55:17.222 +0700
2020,2,2634,54628,2023-06-24 01:55:17.222 +0700
2020,2,2635,43614,2023-06-24 01:55:17.222 +0700
2020,2,3092,55116,2023-06-24 01:55:17.222 +0700
2020,3,1,52233,2023-06-24 01:55:17.222 +0700
2020,3,2,55655,2023-06-24 01:55:17.222 +0700
2020,3,3,61692,2023-06-24 01:55:17.222 +0700
2020,3,2590,65365,2023-06-24 01:55:17.222 +0700
2020,3,2623,60367,2023-06-24 01:55:17.222 +0700
2020,3,2625,54979,2023-06-24 01:55:17.222 +0700
2020,3,2626,43246,2023-06-24 01:55:17.222 +0700
2020,3,2629,59230,2023-06-24 01:55:17.222 +0700
2020,3,2630,60885,2023-06-24 01:55:17.222 +0700
2020,3,2631,47660,2023-06-24 01:55:17.222 +0700
2020,3,2633,61649,2023-06-24 01:55:17.222 +0700
2020,3,2634,60523,2023-06-24 01:55:17.222 +0700
2020,3,2635,41986,2023-06-24 01:55:17.222 +0700
2020,3,3092,53180,2023-06-24 01:55:17.222 +0700
2020,4,1,47212,2023-06-24 01:55:17.222 +0700
2020,4,2,62475,2023-06-24 01:55:17.222 +0700
2020,4,3,56238,2023-06-24 01:55:17.222 +0700
2020,4,2590,62122,2023-06-24 01:55:17.222 +0700
2020,4,2623,70312,2023-06-24 01:55:17.222 +0700
2020,4,2625,48743,2023-06-24 01:55:17.222 +0700
2020,4,2626,45488,2023-06-24 01:55:17.222 +0700
2020,4,2629,60763,2023-06-24 01:55:17.222 +0700
2020,4,2630,65489,2023-06-24 01:55:17.222 +0700
2020,4,2631,48199,2023-06-24 01:55:17.222 +0700
2020,4,2633,67969,2023-06-24 01:55:17.222 +0700
2020,4,2634,59522,2023-06-24 01:55:17.222 +0700
2020,4,2635,41354,2023-06-24 01:55:17.222 +0700
2020,4,3092,55721,2023-06-24 01:55:17.222 +0700
2020,5,1,59669,2023-06-24 01:55:17.222 +0700
2020,5,2,77203,2023-06-24 01:55:17.222 +0700
2020,5,3,62473,2023-06-24 01:55:17.222 +0700
2020,5,2590,64210,2023-06-24 01:55:17.222 +0700
2020,5,2623,75710,2023-06-24 01:55:17.222 +0700
2020,5,2625,52864,2023-06-24 01:55:17.222 +0700
2020,5,2626,46571,2023-06-24 01:55:17.222 +0700
2020,5,2629,73397,2023-06-24 01:55:17.222 +0700
2020,5,2630,71900,2023-06-24 01:55:17.222 +0700
2020,5,2631,50944,2023-06-24 01:55:17.222 +0700
2020,5,2633,69305,2023-06-24 01:55:17.222 +0700
2020,5,2634,95078,2023-06-24 01:55:17.222 +0700
2020,5,2635,53031,2023-06-24 01:55:17.222 +0700
2020,5,3092,63677,2023-06-24 01:55:17.222 +0700
2020,6,1,48750,2023-06-24 01:55:17.222 +0700
2020,6,2,53500,2023-06-24 01:55:17.222 +0700
2020,6,3,60349,2023-06-24 01:55:17.222 +0700
2020,6,2590,57873,2023-06-24 01:55:17.222 +0700
2020,6,2623,67401,2023-06-24 01:55:17.222 +0700
2020,6,2625,52884,2023-06-24 01:55:17.222 +0700
2020,6,2626,45820,2023-06-24 01:55:17.222 +0700
2020,6,2629,62371,2023-06-24 01:55:17.222 +0700
2020,6,2630,54604,2023-06-24 01:55:17.222 +0700
2020,6,2631,48264,2023-06-24 01:55:17.222 +0700
2020,6,2633,65322,2023-06-24 01:55:17.222 +0700
2020,6,2635,42722,2023-06-24 01:55:17.222 +0700
2020,6,3092,53101,2023-06-24 01:55:17.222 +0700
2020,7,1,47875,2023-06-24 01:55:17.222 +0700
2020,7,2,51646,2023-06-24 01:55:17.222 +0700
2020,7,3,49497,2023-06-24 01:55:17.222 +0700
2020,7,2590,56100,2023-06-24 01:55:17.222 +0700
2020,7,2623,51674,2023-06-24 01:55:17.222 +0700
2020,7,2625,54795,2023-06-24 01:55:17.222 +0700
2020,7,2626,48016,2023-06-24 01:55:17.222 +0700
2020,7,2629,59315,2023-06-24 01:55:17.222 +0700
2020,7,2630,57556,2023-06-24 01:55:17.222 +0700
2020,7,2631,49786,2023-06-24 01:55:17.222 +0700
2020,7,2633,64837,2023-06-24 01:55:17.222 +0700
2020,7,2635,41888,2023-06-24 01:55:17.222 +0700
2020,7,3092,49567,2023-06-24 01:55:17.222 +0700
2020,8,1,56304,2023-06-24 01:55:17.222 +0700
2020,8,2,61945,2023-06-24 01:55:17.222 +0700
2020,8,3,56011,2023-06-24 01:55:17.222 +0700
2020,8,2590,60313,2023-06-24 01:55:17.222 +0700
2020,8,2623,54715,2023-06-24 01:55:17.222 +0700
2020,8,2625,58438,2023-06-24 01:55:17.222 +0700
2020,8,2626,49142,2023-06-24 01:55:17.222 +0700
2020,8,2629,64675,2023-06-24 01:55:17.222 +0700
2020,8,2630,59594,2023-06-24 01:55:17.222 +0700
2020,8,2631,52347,2023-06-24 01:55:17.222 +0700
2020,8,2633,67231,2023-06-24 01:55:17.222 +0700
2020,8,2635,50745,2023-06-24 01:55:17.222 +0700
2020,8,3092,55195,2023-06-24 01:55:17.222 +0700
2020,8,11265,1222222,2023-06-24 01:55:17.222 +0700
2020,8,12722,40297,2023-06-24 01:55:17.222 +0700
2020,9,1,47405,2023-06-24 01:55:17.222 +0700
2020,9,2,56653,2023-06-24 01:55:17.222 +0700
2020,9,3,45348,2023-06-24 01:55:17.222 +0700
2020,9,2590,56670,2023-06-24 01:55:17.222 +0700
2020,9,2623,49382,2023-06-24 01:55:17.222 +0700
2020,9,2625,56961,2023-06-24 01:55:17.222 +0700
2020,9,2626,49210,2023-06-24 01:55:17.222 +0700
2020,9,2629,59240,2023-06-24 01:55:17.222 +0700
2020,9,2630,59915,2023-06-24 01:55:17.222 +0700
2020,9,2631,50963,2023-06-24 01:55:17.222 +0700
2020,9,2633,67831,2023-06-24 01:55:17.222 +0700
2020,9,2635,42555,2023-06-24 01:55:17.222 +0700
2020,9,3092,52682,2023-06-24 01:55:17.222 +0700
2020,9,11265,54158,2023-06-24 01:55:17.222 +0700
2020,9,12722,35206,2023-06-24 01:55:17.222 +0700
2020,10,1,55160,2023-06-24 01:55:17.222 +0700
2020,10,2,55954,2023-06-24 01:55:17.222 +0700
2020,10,3,54014,2023-06-24 01:55:17.222 +0700
2020,10,2590,55423,2023-06-24 01:55:17.222 +0700
2020,10,2623,49429,2023-06-24 01:55:17.222 +0700
2020,10,2625,53389,2023-06-24 01:55:17.222 +0700
2020,10,2626,48183,2023-06-24 01:55:17.222 +0700
2020,10,2629,65512,2023-06-24 01:55:17.222 +0700
2020,10,2630,58759,2023-06-24 01:55:17.222 +0700
2020,10,2631,49230,2023-06-24 01:55:17.222 +0700
2020,10,2633,67744,2023-06-24 01:55:17.222 +0700
2020,10,2635,41779,2023-06-24 01:55:17.222 +0700
2020,10,3092,52216,2023-06-24 01:55:17.222 +0700
2020,10,11265,59887,2023-06-24 01:55:17.222 +0700
2020,10,12722,35327,2023-06-24 01:55:17.222 +0700
2020,11,1,51031,2023-06-24 01:55:17.222 +0700
2020,11,2,55411,2023-06-24 01:55:17.222 +0700
2020,11,3,50202,2023-06-24 01:55:17.222 +0700
2020,11,2590,76440,2023-06-24 01:55:17.222 +0700
2020,11,2623,71672,2023-06-24 01:55:17.222 +0700
2020,11,2625,100810,2023-06-24 01:55:17.222 +0700
2020,11,2626,70564,2023-06-24 01:55:17.222 +0700
2020,11,2629,70580,2023-06-24 01:55:17.222 +0700
2020,11,2630,94219,2023-06-24 01:55:17.222 +0700
2020,11,2631,73920,2023-06-24 01:55:17.222 +0700
2020,11,2633,104902,2023-06-24 01:55:17.222 +0700
2020,11,2635,70940,2023-06-24 01:55:17.222 +0700
2020,11,3092,82211,2023-06-24 01:55:17.222 +0700
2020,11,11265,56763,2023-06-24 01:55:17.222 +0700
2020,11,12722,55145,2023-06-24 01:55:17.222 +0700
2020,12,1,90202,2023-06-24 01:55:17.222 +0700
2020,12,2,105392,2023-06-24 01:55:17.222 +0700
2020,12,3,73052,2023-06-24 01:55:17.222 +0700
2020,12,2590,182422,2023-06-24 01:55:17.222 +0700
2020,12,2623,176519,2023-06-24 01:55:17.222 +0700
2020,12,2625,167927,2023-06-24 01:55:17.222 +0700
2020,12,2626,150860,2023-06-24 01:55:17.222 +0700
2020,12,2629,133985,2023-06-24 01:55:17.222 +0700
2020,12,2630,176856,2023-06-24 01:55:17.222 +0700
2020,12,2631,176374,2023-06-24 01:55:17.222 +0700
2020,12,2633,220060,2023-06-24 01:55:17.222 +0700
2020,12,2635,159457,2023-06-24 01:55:17.222 +0700
2020,12,3092,197644,2023-06-24 01:55:17.222 +0700
2020,12,11265,94597,2023-06-24 01:55:17.222 +0700
2020,12,12722,86121,2023-06-24 01:55:17.222 +0700
